latitude,longitude,cluster
45.1,-66.11708542713568,0
45.1,-66.11507537688442,0
45.1,-66.11306532663316,0
45.1,-66.1110552763819,0
45.1,-66.10904522613066,0
45.1,-66.1070351758794,0
45.1,-66.10502512562815,0
45.1,-66.10301507537689,0
45.1,-66.10100502512563,0
45.1,-66.09899497487437,0
45.1,-66.09698492462311,0
45.1,-66.09497487437186,0
45.1,-66.0929648241206,0
45.1,-66.09095477386934,0
45.1,-66.0889447236181,0
45.1,-66.08693467336684,0
45.1,-66.08492462311558,0
45.1,-66.08291457286433,0
45.1,-66.08090452261307,0
45.1,-66.07889447236181,0
45.1,-66.07688442211055,0
45.1,-66.0748743718593,0
45.1,-66.07286432160804,0
45.1,-66.07085427135678,0
45.1,-66.06884422110554,0
45.1,-66.06683417085428,0
45.1,-66.06482412060302,0
45.1,-66.06281407035176,0
45.1,-66.0608040201005,0
45.1,-66.05879396984925,0
45.1,-66.05678391959799,0
45.1,-66.05477386934673,0
45.1,-66.05276381909547,0
45.1,-66.05075376884422,0
45.1,-66.04874371859297,0
45.1,-66.04673366834172,0
45.1,-66.04472361809046,0
45.1,-66.0427135678392,0
45.1,-66.04070351758794,0
45.1,-66.03869346733669,0
45.1,-66.03668341708543,0
45.1,-66.03467336683417,0
45.1,-66.03266331658291,0
45.1,-66.03065326633165,0
45.1,-66.02864321608041,0
45.1,-66.02663316582915,0
45.1,-66.0246231155779,0
45.1,-66.02261306532664,0
45.1,-66.02060301507538,0
45.1,-66.01859296482412,0
45.1,-66.01658291457287,0
45.1,-66.01457286432161,0
45.1,-66.01256281407035,0
45.1,-66.01055276381909,0
45.1,-66.00854271356785,0
45.1,-66.00653266331659,0
45.1,-66.00452261306533,0
45.1,-66.00251256281408,0
45.1,-66.00050251256282,0
45.1,-65.99849246231156,0
45.1,-65.9964824120603,0
45.1,-65.99447236180904,0
45.1,-65.99246231155779,0
45.1,-65.99045226130653,0
45.1,-65.98844221105529,0
45.1,-65.98643216080403,0
45.1,-65.98442211055277,0
45.1,-65.98241206030151,0
45.1,-65.98040201005026,0
45.1,-65.978391959799,0
45.1,-65.97638190954774,0
45.1,-65.97437185929648,0
45.1,-65.97236180904522,0
45.1,-65.97035175879397,0
45.1,-65.96834170854272,0
45.1,-65.96633165829147,0
45.1,-65.96432160804021,0
45.1,-65.96231155778895,0
45.1,-65.9603015075377,0
45.1,-65.95829145728644,0
45.1,-65.95628140703518,0
45.1,-65.95427135678392,0
45.1,-65.95226130653266,0
45.1,-65.9502512562814,0
45.1,-65.94824120603016,0
45.1,-65.9462311557789,0
45.1,-65.94422110552765,0
45.1,-65.94221105527639,0
45.1,-65.94020100502513,0
45.1,-65.93819095477387,0
45.1,-65.93618090452262,0
45.1,-65.93417085427136,0
45.1,-65.9321608040201,0
45.1,-65.93015075376884,0
45.1,-65.9281407035176,0
45.1,-65.92613065326634,0
45.1,-65.92412060301508,0
45.1,-65.92211055276383,0
45.1,-65.92010050251257,0
45.1,-65.91809045226131,0
45.1,-65.91608040201005,0
45.1,-65.9140703517588,0
45.1,-65.91206030150754,0
45.1,-65.91005025125628,0
45.1,-65.90804020100504,0
45.1,-65.90603015075378,0
45.1,-65.90402010050252,0
45.1,-65.90201005025126,0
45.1,-65.9,0
45.10175879396985,-66.3,0
45.10175879396985,-66.29798994974874,0
45.10175879396985,-66.29597989949748,0
45.10175879396985,-66.29396984924622,0
45.10175879396985,-66.29195979899497,0
45.10175879396985,-66.28994974874372,0
45.10175879396985,-66.28793969849247,0
45.10175879396985,-66.28592964824121,0
45.10175879396985,-66.28391959798995,0
45.10175879396985,-66.28190954773869,0
45.10175879396985,-66.27989949748743,0
45.10175879396985,-66.27788944723618,0
45.10175879396985,-66.27587939698492,0
45.10175879396985,-66.27386934673366,0
45.10175879396985,-66.2718592964824,0
45.10175879396985,-66.26984924623116,0
45.10175879396985,-66.2678391959799,0
45.10175879396985,-66.26582914572865,0
45.10175879396985,-66.26381909547739,0
45.10175879396985,-66.26180904522613,0
45.10175879396985,-66.25979899497487,0
45.10175879396985,-66.25778894472361,0
45.10175879396985,-66.25577889447236,0
45.10175879396985,-66.2537688442211,0
45.10175879396985,-66.25175879396984,0
45.10175879396985,-66.2497487437186,0
45.10175879396985,-66.24773869346734,0
45.10175879396985,-66.24572864321608,0
45.10175879396985,-66.24371859296483,0
45.10175879396985,-66.24170854271357,0
45.10175879396985,-66.23969849246231,0
45.10175879396985,-66.23768844221105,0
45.10175879396985,-66.2356783919598,0
45.10175879396985,-66.23366834170854,0
45.10175879396985,-66.23165829145728,0
45.10175879396985,-66.22964824120604,0
45.10175879396985,-66.22763819095478,0
45.10175879396985,-66.22562814070352,0
45.10175879396985,-66.22361809045226,0
45.10175879396985,-66.221608040201,0
45.10175879396985,-66.21959798994975,0
45.10175879396985,-66.21758793969849,0
45.10175879396985,-66.21557788944723,0
45.10175879396985,-66.21356783919597,0
45.10175879396985,-66.21155778894472,0
45.10175879396985,-66.20954773869347,0
45.10175879396985,-66.20753768844222,0
45.10175879396985,-66.20552763819096,0
45.10175879396985,-66.2035175879397,0
45.10175879396985,-66.20150753768844,0
45.10175879396985,-66.19949748743718,0
45.10175879396985,-66.19748743718593,0
45.10175879396985,-66.19547738693467,0
45.10175879396985,-66.19346733668341,0
45.10175879396985,-66.19145728643215,0
45.10175879396985,-66.18944723618091,0
45.10175879396985,-66.18743718592965,0
45.10175879396985,-66.1854271356784,0
45.10175879396985,-66.18341708542714,0
45.10175879396985,-66.18140703517588,0
45.10175879396985,-66.17939698492462,0
45.10175879396985,-66.17738693467336,0
45.10175879396985,-66.1753768844221,0
45.10175879396985,-66.17336683417085,0
45.10175879396985,-66.17135678391959,0
45.10175879396985,-66.16934673366835,0
45.10175879396985,-66.16733668341709,0
45.10175879396985,-66.16532663316583,0
45.10175879396985,-66.16331658291458,0
45.10175879396985,-66.16130653266332,0
45.10175879396985,-66.15929648241206,0
45.10175879396985,-66.1572864321608,0
45.10175879396985,-66.15527638190954,0
45.10175879396985,-66.15326633165829,0
45.10175879396985,-66.15125628140703,0
45.10175879396985,-66.14924623115579,0
45.10175879396985,-66.14723618090453,0
45.10175879396985,-66.14522613065327,0
45.10175879396985,-66.14321608040201,0
45.10175879396985,-66.14120603015076,0
45.10175879396985,-66.1391959798995,0
45.10175879396985,-66.13718592964824,0
45.10175879396985,-66.13517587939698,0
45.10175879396985,-66.13316582914572,0
45.10175879396985,-66.13115577889447,0
45.10175879396985,-66.12914572864322,0
45.10175879396985,-66.12713567839197,0
45.10175879396985,-66.12512562814071,0
45.10175879396985,-66.12311557788945,0
45.10175879396985,-66.12110552763819,0
45.10175879396985,-66.11909547738694,0
45.10175879396985,-66.11708542713568,0
45.10175879396985,-66.11507537688442,0
45.10175879396985,-66.11306532663316,0
45.10175879396985,-66.1110552763819,0
45.10175879396985,-66.10904522613066,0
45.10175879396985,-66.1070351758794,0
45.10175879396985,-66.10502512562815,0
45.10175879396985,-66.10301507537689,0
45.10175879396985,-66.10100502512563,0
45.10175879396985,-66.09899497487437,0
45.10175879396985,-66.09698492462311,0
45.10175879396985,-66.09497487437186,0
45.10175879396985,-66.0929648241206,0
45.10175879396985,-66.09095477386934,0
45.10175879396985,-66.0889447236181,0
45.10175879396985,-66.08693467336684,0
45.10175879396985,-66.08492462311558,0
45.10175879396985,-66.08291457286433,0
45.10175879396985,-66.08090452261307,0
45.10175879396985,-66.07889447236181,0
45.10175879396985,-66.07688442211055,0
45.10175879396985,-66.0748743718593,0
45.10175879396985,-66.07286432160804,0
45.10175879396985,-66.07085427135678,0
45.10175879396985,-66.06884422110554,0
45.10175879396985,-66.06683417085428,0
45.10175879396985,-66.06482412060302,0
45.10175879396985,-66.06281407035176,0
45.10175879396985,-66.0608040201005,0
45.10175879396985,-66.05879396984925,0
45.10175879396985,-66.05678391959799,0
45.10175879396985,-66.05477386934673,0
45.10175879396985,-66.05276381909547,0
45.10175879396985,-66.05075376884422,0
45.10175879396985,-66.04874371859297,0
45.10175879396985,-66.04673366834172,0
45.10175879396985,-66.04472361809046,0
45.10175879396985,-66.0427135678392,0
45.10175879396985,-66.04070351758794,0
45.10175879396985,-66.03869346733669,0
45.10175879396985,-66.03668341708543,0
45.10175879396985,-66.03467336683417,0
45.10175879396985,-66.03266331658291,0
45.10175879396985,-66.03065326633165,0
45.10175879396985,-66.02864321608041,0
45.10175879396985,-66.02663316582915,0
45.10175879396985,-66.0246231155779,0
45.10175879396985,-66.02261306532664,0
45.10175879396985,-66.02060301507538,0
45.10175879396985,-66.01859296482412,0
45.10175879396985,-66.01658291457287,0
45.10175879396985,-66.01457286432161,0
45.10175879396985,-66.01256281407035,0
45.10175879396985,-66.01055276381909,0
45.10175879396985,-66.00854271356785,0
45.10175879396985,-66.00653266331659,0
45.10175879396985,-66.00452261306533,0
45.10175879396985,-66.00251256281408,0
45.10175879396985,-66.00050251256282,0
45.10175879396985,-65.99849246231156,0
45.10175879396985,-65.9964824120603,0
45.10175879396985,-65.99447236180904,0
45.10175879396985,-65.99246231155779,0
45.10175879396985,-65.99045226130653,0
45.10175879396985,-65.98844221105529,0
45.10175879396985,-65.98643216080403,0
45.10175879396985,-65.98442211055277,0
45.10175879396985,-65.98241206030151,0
45.10175879396985,-65.98040201005026,0
45.10175879396985,-65.978391959799,0
